Organ,01yf
10,0.05699893751879191
11,0.04877702518358777
14,0.06792891495083418
15,0.18187100383757582
16,1.4043586863116857
18,0.060176722322180375
19,0.059242693199367445
21,0.07635222654896234
22,0.053517418101058326
23,0.05181967995050589
24,0.0737341170047499
25,0.07115006244269144
26,0.36682208285417905
27,0.08656052684692411
28,0.06634791923394232
30,0.0723025949044318
31,0.06778583350412813
32,0.10492942932941106
33,0.10313038200270024
34,0.07006520107880253
35,0.05848345118406984
36,0.061526748539128595
37,0.05985031165329659
38,0.07066125085131701
43,0.05611062532685239
44,0.06843261259170226
46,0.042513322650571055
47,0.042355692345564404
65,0.06408333518664544
66,0.06454420501308177
67,0.06914806766092318
68,0.06874749770986807
69,0.07080197128969264
70,0.06378134108117758
86,0.10805809103380395
88,0.134444157068435
